i,Naive,Preprocess,D&C,Dynamic
1000,0,0,6523,1210
2000,0,0,13869,2102
3000,0,0,21604,2874
4000,0,0,28496,4511
5000,0,0,34952,4677
6000,0,0,40606,5591
7000,0,0,47334,6919
8000,0,0,53988,7386
9000,0,0,61998,8394
10000,0,0,70132,10010
11000,0,0,81005,10682
12000,0,0,88907,12116
13000,0,0,96786,12112
14000,0,0,98573,16892
15000,0,0,106899,13910
16000,0,0,114096,15656
17000,0,0,129280,18341
18000,0,0,141645,18403
19000,0,0,171508,19165
20000,0,0,168588,39440
21000,0,0,188700,22284
22000,0,0,190116,23545
23000,0,0,194638,24010
24000,0,0,186236,22805
25000,0,0,188086,23703
26000,0,0,214075,27248
27000,0,0,211600,27382
28000,0,0,210400,26906
29000,0,0,213923,28406
30000,0,0,246444,32337
31000,0,0,254913,34375
32000,0,0,263869,32236
33000,0,0,273072,31527
34000,0,0,252657,32440
35000,0,0,261414,34769
36000,0,0,273227,33807
37000,0,0,287564,40645
38000,0,0,295093,34871
39000,0,0,290536,36729
40000,0,0,298785,37494
41000,0,0,311877,38450
42000,0,0,321182,39247
43000,0,0,322094,45528
44000,0,0,336474,40927
45000,0,0,341738,42918
46000,0,0,351598,43137
47000,0,0,359796,44498
48000,0,0,396173,51057
49000,0,0,425342,51447
50000,0,0,428125,54740
51000,0,0,427195,53197
52000,0,0,539154,62272
53000,0,0,469532,54301
54000,0,0,418675,52163
55000,0,0,427351,57182
56000,0,0,449620,53690
57000,0,0,436105,58091
58000,0,0,445999,55398
59000,0,0,449968,56372
60000,0,0,455287,56678
61000,0,0,512294,58787
62000,0,0,538106,67646
63000,0,0,580188,69306
64000,0,0,773688,120889
65000,0,0,680926,80627
66000,0,0,572124,63442
67000,0,0,515392,64983
68000,0,0,527351,65775
69000,0,0,616631,82004
70000,0,0,737662,97731
71000,0,0,724574,70733
72000,0,0,567310,69160
73000,0,0,587601,71438
74000,0,0,591725,71422
75000,0,0,598335,72925
76000,0,0,599606,73543
77000,0,0,609716,74403
78000,0,0,628663,75656
79000,0,0,629722,77347
80000,0,0,635099,77661
81000,0,0,632054,78969
82000,0,0,642974,79874
83000,0,0,652521,79974
84000,0,0,665789,84141
85000,0,0,664611,82384
86000,0,0,679930,84011
87000,0,0,680481,84256
88000,0,0,691254,85298
89000,0,0,705490,87144
90000,0,0,716691,86990
91000,0,0,726716,88618
92000,0,0,737263,89279
93000,0,0,739143,97844
94000,0,0,823751,98406
95000,0,0,871016,125552
96000,0,0,906793,120597
97000,0,0,890793,119973
98000,0,0,36928,147832
99000,0,0,933980,105196
100000,0,0,12357,114231
101000,0,0,421958,115572
102000,0,0,842707,102489
103000,0,0,141852,138905
104000,0,0,906770,111744
105000,0,0,904963,112232
106000,0,0,914361,110750
107000,0,0,921323,108971
108000,0,0,909666,117050
109000,0,0,910515,117591
110000,0,0,891728,113319
111000,0,0,908332,134601
112000,0,0,909182,110479
113000,0,0,939043,111724
